,p,cycb
0,0.047619047619047616,0.952247914742836
1,0.047619047619047616,0.9526654012673931
2,0.04794188861985471,0.9518269322239333
3,0.04794188861985471,0.952247914742836
4,0.048269137006338364,0.9514024277308275
5,0.048269137006338364,0.9518269322239333
6,0.04860088365243004,0.046094153995741516
7,0.04860088365243004,0.04611272195190647
8,0.04860088365243004,0.9509743751490186
9,0.04860088365243004,0.9514024277308275
10,0.048937221947602576,0.046094153995741516
11,0.048937221947602576,0.04611272195190647
12,0.048937221947602576,0.9505427482297536
13,0.048937221947602576,0.9509743751490186
14,0.04927824788451967,0.046094153995741516
15,0.04927824788451967,0.04611272195190647
16,0.04927824788451967,0.9505427482297536
17,0.04927824788451967,0.9509743751490186
18,0.049624060150375945,0.046094153995741516
19,0.049624060150375945,0.04611272195190647
20,0.049624060150375945,0.9501075205904403
21,0.049624060150375945,0.9505427482297536
22,0.049974760222110046,0.046094153995741516
23,0.049974760222110046,0.04611272195190647
24,0.049974760222110046,0.9496686657150907
25,0.049974760222110046,0.9501075205904403
26,0.05033045246568378,0.046094153995741516
27,0.05033045246568378,0.04611272195190647
28,0.05033045246568378,0.9492261569547864
29,0.05033045246568378,0.9496686657150907
30,0.05069124423963133,0.046094153995741516
31,0.05069124423963133,0.04611272195190647
32,0.05069124423963133,0.9487799675281758
33,0.05069124423963133,0.9492261569547864
34,0.05105724600309437,0.046094153995741516
35,0.05105724600309437,0.04611272195190647
36,0.05105724600309437,0.9483300705219962
37,0.05105724600309437,0.9487799675281758
38,0.05142857142857142,0.046094153995741516
39,0.05142857142857142,0.04611272195190647
40,0.05142857142857142,0.9478764388916238
41,0.05142857142857142,0.9483300705219962
42,0.05180533751962323,0.046094153995741516
43,0.05180533751962323,0.04611272195190647
44,0.05180533751962323,0.9478764388916238
45,0.05180533751962323,0.9483300705219962
46,0.052187664733790204,0.046094153995741516
47,0.052187664733790204,0.04611272195190647
48,0.052187664733790204,0.947419045461654
49,0.052187664733790204,0.9478764388916238
50,0.052575677110993105,0.046094153995741516
51,0.052575677110993105,0.04611272195190647
52,0.052575677110993105,0.9469578629265092
53,0.052575677110993105,0.947419045461654
54,0.052969502407704656,0.046094153995741516
55,0.052969502407704656,0.04611272195190647
56,0.052969502407704656,0.9464928638510769
57,0.052969502407704656,0.9469578629265092
58,0.053369272237196765,0.046094153995741516
59,0.053369272237196765,0.04611272195190647
60,0.053369272237196765,0.9460240206713773
61,0.053369272237196765,0.9464928638510769
62,0.05377512221618685,0.046094153995741516
63,0.05377512221618685,0.04611272195190647
64,0.05377512221618685,0.9455513056952617
65,0.05377512221618685,0.9460240206713773
66,0.0541871921182266,0.04590886538551617
67,0.0541871921182266,0.045927362296107624
68,0.0541871921182266,0.04629879340306023
69,0.0541871921182266,0.046317439790803064
70,0.0541871921182266,0.945074691103142
71,0.0541871921182266,0.9455513056952617
72,0.054605626034197455,0.04445188163232599
73,0.054605626034197455,0.04446981887795977
74,0.054605626034197455,0.048199196387885716
75,0.054605626034197455,0.04821856944781326
76,0.054605626034197455,0.9445941489487513
77,0.054605626034197455,0.945074691103142
78,0.055030572540300166,0.043881519304239835
79,0.055030572540300166,0.043899236970530754
80,0.055030572540300166,0.04923621371941198
81,0.055030572540300166,0.049255982025036824
82,0.055030572540300166,0.9441096511599364
83,0.055030572540300166,0.9445941489487513
84,0.05546218487394958,0.04347589128577107
85,0.05546218487394958,0.043493452625250485
86,0.05546218487394958,0.05009307783653131
87,0.05546218487394958,0.05011317203923892
88,0.05546218487394958,0.9436211695394834
89,0.05546218487394958,0.9441096511599364
90,0.05590062111801243,0.04316094232772025
91,0.05590062111801243,0.043178382191726164
92,0.05590062111801243,0.050882432809979304
93,0.05590062111801243,0.05090282668459274
94,0.05590062111801243,0.9431286757659761
95,0.05590062111801243,0.9436211695394834
96,0.05634604439385317,0.042900150226413684
97,0.05634604439385317,0.04291748943975623
98,0.05634604439385317,0.05164217804061122
99,0.05634604439385317,0.051662859848851383
100,0.05634604439385317,0.9426321413946871
101,0.05634604439385317,0.9431286757659761
102,0.05679862306368331,0.04267534852215732
103,0.05679862306368331,0.04269260092893135
104,0.05679862306368331,0.052349768498705124
105,0.05679862306368331,0.05237071803596789
106,0.05679862306368331,0.9421315378585038
107,0.05679862306368331,0.9426321413946871
108,0.05725853094274147,0.04246883854813003
109,0.05725853094274147,0.0424860111740094
110,0.05725853094274147,0.053045299414112165
111,0.05725853094274147,0.053066511705186684
112,0.05725853094274147,0.9416268364688883
113,0.05725853094274147,0.9421315378585038
114,0.057725947521865884,0.0422974767421222
115,0.057725947521865884,0.04231458313852584
116,0.057725947521865884,0.05374954717421366
117,0.057725947521865884,0.0537710250956537
118,0.057725947521865884,0.9411180084168738
119,0.057725947521865884,0.9416268364688883
120,0.0582010582010582,0.04212677596090859
121,0.0582010582010582,0.04214381635864804
122,0.0582010582010582,0.054419138670127556
123,0.0582010582010582,0.0544408687615592
124,0.0582010582010582,0.9406050247740941
125,0.0582010582010582,0.9411180084168738
126,0.058684054534676934,0.04199068972477063
127,0.058684054534676934,0.042007677489356104
128,0.058684054534676934,0.05509658598822028
129,0.058684054534676934,0.0551185708226625
130,0.058684054534676934,0.9400878564938512
131,0.058684054534676934,0.9406050247740941
132,0.059175134488942016,0.04185502389206331
133,0.059175134488942016,0.04187195917051651
134,0.059175134488942016,0.055759735315032546
135,0.059175134488942016,0.05578196914039518
136,0.059175134488942016,0.9395664744122184
